chrom	start	end
chr1	48540000	48700000
chr1	48720000	48980000
chr1	49000000	50800000
chr1	50820000	51200000
chr1	51220000	51760000
chr1	51780000	52300000
chr1	52320000	52500000
chr1	52520000	52820000
chr1	52840000	53160000
chr1	53180000	53700000
chr1	53720000	53880000
chr1	53900000	54280000
chr1	54300000	54520000
chr1	54540000	54960000
chr1	54980000	55380000
chr1	55400000	55520000
chr1	55540000	55760000
chr1	55780000	57280000
chr1	57300000	58980000
chr1	59000000	59140000
chr1	59160000	59760000
chr1	59780000	60300000
chr1	60320000	61300000
chr1	61320000	61400000
chr1	61420000	61500000
chr1	61520000	62340000
chr1	62360000	62560000
chr1	62580000	62900000
chr1	62920000	63280000
chr1	63300000	64040000
chr1	64060000	64720000
chr1	64740000	65300000
chr1	65320000	66180000
chr1	66200000	66380000
chr1	66400000	66700000
chr1	66720000	66960000
chr1	66980000	67200000
chr1	67220000	67680000
chr1	67700000	67960000
chr1	67980000	68240000
chr1	68260000	68560000
chr1	68580000	68860000
chr1	68880000	70220000
chr1	70240000	70520000
chr1	70540000	70980000
chr1	71000000	71540000
chr1	71560000	71980000
chr1	72000000	74180000
chr1	74200000	75200000
chr1	75220000	75680000
chr1	75700000	76300000
chr1	76320000	77600000
chr1	77620000	78060000
chr1	78080000	78420000
chr1	78440000	78560000
chr1	78580000	79140000
chr1	79160000	79680000
chr1	79700000	79960000
chr1	79980000	80660000
chr1	80680000	82240000
chr1	82260000	82440000
chr1	82460000	84340000
chr1	84360000	84600000
chr1	84620000	84900000
chr1	84920000	85420000
chr1	85440000	85740000
chr1	85760000	86800000
chr1	86820000	87200000
chr1	87220000	87580000
chr1	87600000	88640000
chr1	88660000	89080000
chr1	89100000	89380000
chr1	89400000	89940000
chr1	89960000	90240000
chr1	90260000	90480000
chr1	90500000	91620000
chr1	91640000	91860000
chr1	91880000	91960000
chr1	91980000	92420000
chr1	92440000	92760000
chr1	92780000	93280000
chr1	93300000	93480000
chr1	93500000	94380000
chr1	94400000	94920000
chr1	94940000	95300000
chr1	95320000	95560000
chr1	95580000	95720000
chr1	95740000	96680000
chr1	96700000	97380000
chr1	97400000	98520000
chr1	98540000	98980000
chr1	99000000	99220000
chr1	99240000	99600000
chr1	99620000	100200000
chr1	100220000	100920000
chr1	100940000	101360000
chr1	101380000	101900000
chr1	101920000	102660000
chr1	102680000	102920000
chr1	102940000	104080000
chr1	104300000	105200000
chr1	105220000	106360000
chr1	106380000	107720000
chr1	107740000	108300000
chr1	108320000	108720000
chr1	109040000	109240000
chr1	109260000	109480000
chr1	109500000	109740000
chr1	109760000	110040000
chr1	110060000	110300000
chr1	110320000	110580000
chr1	110600000	111040000
chr1	111060000	111340000
chr1	111360000	111580000
chr1	111600000	111960000
chr1	111980000	112320000
chr1	112340000	112900000
chr1	112920000	113240000
chr1	113260000	113620000
chr1	113640000	114360000
chr1	114380000	114460000
chr1	114480000	114840000
chr1	114860000	115300000
chr1	115320000	115620000
chr1	115640000	116160000
chr1	116180000	116320000
chr1	116340000	116620000
chr1	116640000	117080000
chr1	117100000	117600000
chr1	117620000	117860000
chr1	117880000	118000000
chr1	118020000	118480000
chr1	118500000	119560000
chr1	119580000	120240000
chr1	120260000	120720000
chr1	143120000	143320000
chr1	144800000	145100000
chr1	145120000	145360000
chr1	145380000	145600000
chr1	146360000	146720000
chr1	146740000	146920000
chr1	146940000	147120000
chr1	149020000	149180000
chr1	149780000	150180000
chr1	150200000	150520000
chr1	150540000	151020000
chr1	151040000	151140000
chr1	151160000	151860000
chr1	151880000	151980000
chr1	152000000	152500000
chr1	152520000	153280000
chr1	153300000	153440000
chr1	153460000	153960000
chr1	153980000	154520000
chr1	154540000	155160000
chr1	155180000	155540000
chr1	155560000	155720000
chr1	155740000	156040000
chr1	156060000	156280000
chr1	156300000	156620000
chr1	156640000	156940000
chr1	156960000	157140000
chr1	157160000	157480000
chr1	157500000	157880000
chr1	157900000	158120000
chr1	158140000	159080000
chr1	159100000	159740000
chr1	159760000	160020000
chr1	160040000	160360000
chr1	160380000	160640000
chr1	160660000	161120000
chr1	161140000	161400000
chr1	161420000	161720000
chr1	161740000	161980000
chr1	162000000	162780000
chr1	162800000	163320000
chr1	163340000	165060000
chr1	165080000	165540000
chr1	165560000	165900000
chr1	165920000	166440000
chr1	166460000	166820000
chr1	166840000	167020000
chr1	167040000	167540000
chr1	167560000	167660000
chr1	167680000	168160000
chr1	168180000	168560000
chr1	168580000	169340000
chr1	169360000	169500000
chr1	169520000	169840000
chr1	169860000	171460000
chr1	171480000	171940000
chr1	171960000	172400000
chr1	172420000	172680000
chr1	172700000	173360000
chr1	173380000	173800000
chr1	173820000	174180000
chr1	174200000	174740000
chr1	174760000	174980000
chr1	175000000	175340000
chr1	175360000	176840000
chr1	176860000	177940000
chr1	177960000	178260000
chr1	178280000	178460000
chr1	178480000	179000000
chr1	179020000	179340000
chr1	179360000	179620000
chr1	179640000	179780000
chr1	179800000	180180000
chr1	180200000	180440000
chr1	180460000	180860000
chr1	180880000	181140000
chr1	181160000	181400000
chr1	181420000	182040000
chr1	182060000	182400000
chr1	182420000	182540000
chr1	182560000	182800000
chr1	182820000	183220000
chr1	183240000	183600000
chr1	183620000	183900000
chr1	183920000	184680000
chr1	184700000	185140000
chr1	185160000	185680000
chr1	185700000	186280000
chr1	186300000	186980000
chr1	187000000	190380000
chr1	190400000	192400000
chr1	192420000	193080000
chr1	193100000	194280000
chr1	194300000	195820000
chr1	195840000	196080000
chr1	196100000	196280000
chr1	196300000	196660000
chr1	196680000	197360000
chr1	197380000	197880000
chr1	197900000	198680000
chr1	198700000	199540000
chr1	199560000	200500000
chr1	200520000	200860000
chr1	200880000	201160000
chr1	201180000	201380000
chr1	201400000	201820000
chr1	201840000	202100000
chr1	202120000	202700000
chr1	202720000	202960000
chr1	202980000	203220000
chr1	203240000	203440000
chr1	203460000	203780000
chr1	203800000	204120000
chr1	204140000	204480000
chr1	204500000	204780000
chr1	204800000	204940000
chr1	204960000	205220000
chr1	205240000	205500000
chr1	205520000	205700000
chr1	206500000	206620000
chr1	206640000	206780000
chr1	206800000	207200000
chr1	207220000	208000000
chr1	208020000	208140000
chr1	208160000	208440000
chr1	208460000	209740000
chr1	209760000	209980000
chr1	210000000	210160000
chr1	210180000	210520000
chr1	210540000	211440000
chr1	211460000	211840000
chr1	211860000	212200000
chr1	212220000	212600000
chr1	212620000	213220000
chr1	213240000	214340000
chr1	214360000	214820000
chr1	214840000	215840000
chr1	215860000	218440000
chr1	218460000	220000000
chr1	220020000	220340000
chr1	220360000	220960000
chr1	220980000	221620000
chr1	221640000	222620000
chr1	222640000	222840000
chr1	222860000	223300000
chr1	223320000	223840000
chr1	223860000	224260000
chr1	224280000	224640000
chr1	224660000	225140000
chr1	225160000	225600000
chr1	225620000	226220000
chr1	226240000	226560000
chr1	226580000	227020000
chr1	227040000	227660000
chr1	227680000	227920000
chr1	227940000	228180000
chr1	228200000	228760000
chr1	228780000	229400000
chr1	229420000	229680000
chr1	229700000	230500000
chr1	230520000	230740000
chr1	230760000	231420000
chr1	231440000	231780000
chr1	231800000	231980000
chr1	232000000	232740000
chr1	232760000	233400000
chr1	233420000	234220000
chr1	234240000	234460000
chr1	234480000	234600000
chr1	234620000	235280000
chr1	235300000	235620000
chr1	235640000	236200000
chr1	236220000	236740000
chr1	236760000	237960000
chr1	237980000	238380000
chr1	238400000	239540000
chr1	239560000	240140000
chr1	240160000	241660000
chr1	241680000	242020000
chr1	242040000	242180000
chr1	242200000	243220000
chr1	243240000	243480000
chr1	243500000	244500000
chr1	244520000	244980000
chr1	245000000	245260000
chr1	245280000	246160000
chr1	246180000	246640000
chr1	246660000	246960000
chr1	246980000	247500000
chr2	680000	1840000
chr2	1860000	3320000
chr2	3340000	3720000
chr2	3740000	3980000
chr2	4000000	5160000
chr2	5180000	5540000
chr2	5560000	5800000
chr2	5820000	6980000
chr2	7000000	7200000
chr2	7220000	7520000
chr2	7540000	8840000
chr2	8860000	9280000
chr2	9300000	9620000
chr2	9640000	9900000
chr2	9920000	10160000
chr2	10180000	10600000
chr2	10620000	10820000
chr2	10840000	11260000
chr2	11280000	11580000
chr2	11600000	11940000
chr2	11960000	13160000
chr2	13180000	14380000
chr2	14400000	15060000
chr2	15080000	15740000
chr2	15760000	16680000
chr2	16700000	16760000
chr2	16780000	16920000
chr2	16940000	17620000
chr2	17640000	17980000
chr2	18000000	18580000
chr2	18600000	18920000
chr2	18940000	19560000
chr2	19580000	20100000
chr2	20120000	20540000
chr2	20560000	20860000
chr2	20880000	21220000
chr2	21240000	21540000
chr2	21560000	22600000
chr2	22620000	23580000
chr2	23600000	24000000
chr2	24020000	24300000
chr2	24320000	24580000
chr2	24600000	25060000
chr2	25080000	25160000
chr2	25180000	25440000
chr2	25460000	26060000
chr2	26080000	26400000
chr2	26420000	26800000
chr2	26820000	27000000
chr2	27020000	27280000
chr2	27300000	27580000
chr2	27600000	27900000
chr2	27920000	28660000
chr2	28680000	28740000
chr2	28760000	29120000
chr2	29140000	29440000
chr2	29460000	30320000
chr2	30340000	30920000
chr2	30940000	31600000
chr2	31620000	31900000
chr2	31920000	32040000
chr2	32060000	32740000
chr2	32760000	33840000
chr2	33860000	34260000
chr2	34280000	35340000
chr2	35360000	35640000
chr2	35660000	36540000
chr2	36560000	37000000
chr2	37020000	37340000
chr2	37360000	37480000
chr2	37500000	38140000
chr2	38160000	38520000
chr2	38540000	38800000
chr2	38820000	39080000
chr2	39100000	39480000
chr2	39500000	40060000
chr2	40080000	41020000
chr2	41040000	42040000
chr2	42060000	42300000
chr2	42320000	42580000
chr2	42600000	43020000
chr2	43040000	43480000
chr2	43500000	43800000
chr2	43820000	44100000
chr2	44120000	44580000
chr2	44600000	45180000
chr2	45200000	45820000
chr2	45840000	46160000
chr2	46180000	46700000
chr2	46720000	46860000
chr2	46880000	47140000
chr2	47160000	47620000
chr2	47640000	48020000
chr2	48040000	48320000
chr2	48340000	48800000
chr2	48820000	49820000
chr2	49840000	50380000
chr2	50400000	50720000
chr2	50740000	51940000
chr2	51960000	52640000
chr2	52660000	53420000
chr2	53440000	54060000
chr2	54080000	54700000
chr2	54720000	54960000
chr2	54980000	55080000
chr2	55100000	55460000
chr2	55480000	55860000
chr2	55880000	56360000
chr2	56380000	57000000
chr2	57020000	57820000
chr2	57840000	58740000
chr2	58760000	58940000
chr2	58960000	60880000
chr2	60900000	61260000
chr2	61280000	61380000
chr2	61400000	61720000
chr2	61740000	62100000
chr2	62120000	62640000
chr2	62660000	63000000
chr2	63020000	63820000
chr2	63840000	64240000
chr2	64260000	64520000
chr2	64540000	64780000
chr2	64800000	65140000
chr2	65160000	65280000
chr2	65300000	65440000
chr2	65460000	65840000
chr2	65860000	66600000
chr2	66620000	66820000
chr2	66840000	68280000
chr2	68300000	68540000
chr2	68560000	68640000
chr2	68660000	69180000
chr2	69200000	69600000
chr2	69620000	70080000
chr2	70100000	70480000
chr2	70500000	70880000
chr2	70900000	71240000
chr2	71260000	71740000
chr2	71760000	72100000
chr2	72120000	72380000
chr2	72400000	72980000
chr2	73000000	73100000
chr2	73120000	73460000
chr2	73480000	73820000
chr2	73840000	74040000
chr2	74060000	74380000
chr2	74400000	74680000
chr2	74700000	74840000
chr2	74860000	75100000
chr2	75120000	75880000
chr2	75900000	76840000
chr2	76860000	77080000
chr2	77100000	78020000
chr2	78040000	78540000
chr2	78560000	79240000
chr2	79260000	79420000
chr2	79440000	80160000
chr2	80180000	81100000
chr2	81120000	81460000
chr2	81480000	82140000
chr2	82160000	83220000
chr2	83240000	83380000
chr2	83400000	84540000
chr2	84560000	85120000
chr2	85140000	85560000
chr2	85580000	85820000
chr2	85840000	86060000
chr2	86080000	86360000
chr2	86380000	86580000
chr2	86600000	87000000
chr2	88320000	88460000
chr2	88480000	89000000
chr2	89020000	89580000
chr2	95820000	96600000
chr2	96620000	96920000
chr2	96940000	97200000
chr2	97220000	97480000
chr2	98160000	98320000
chr2	98340000	99020000
chr2	99040000	99200000
chr2	99220000	99800000
chr2	99820000	99940000
chr2	99960000	100140000
chr2	100160000	100880000
chr2	100900000	101040000
chr2	101060000	101180000
chr2	101200000	101620000
chr2	101640000	101860000
chr2	101880000	102480000
chr2	102500000	103080000
chr2	103100000	103360000
chr2	103380000	104540000
chr2	104560000	105660000
chr2	105680000	105920000
chr2	105940000	106180000
chr2	106200000	106680000
chr2	106700000	107240000
chr2	107260000	108100000
chr2	108120000	108500000
chr2	108520000	108800000
chr2	108820000	109380000
chr2	109400000	110280000
chr2	111360000	111860000
chr2	111880000	112200000
chr2	112220000	112560000
chr2	112580000	112800000
chr2	112820000	113340000
chr2	113360000	113480000
chr2	113500000	113800000
chr2	113820000	114220000
chr2	114240000	114740000
chr2	114760000	115440000
chr2	115460000	115720000
chr2	115740000	115960000
chr2	115980000	116340000
chr2	116360000	116620000
chr2	116640000	117160000
chr2	117180000	118200000
chr2	118220000	118560000
chr2	118580000	118760000
chr2	118780000	118940000
chr2	118960000	119620000
chr2	119640000	120080000
chr2	120100000	120260000
chr2	120280000	120420000
chr2	120440000	121060000
chr2	121080000	121440000
chr2	121460000	121840000
chr2	121860000	122140000
chr2	122160000	122520000
chr2	122540000	123260000
chr2	123280000	124740000
chr2	124760000	125580000
chr2	125600000	126380000
chr2	126400000	127800000
chr2	127820000	128280000
chr2	128300000	128480000
chr2	128500000	129060000
chr2	129080000	129480000
chr2	129500000	130060000
chr2	130080000	130700000
chr2	130720000	130840000
chr2	130860000	131140000
chr2	131500000	131840000
chr2	132120000	132580000
chr2	132600000	132960000
chr2	132980000	133960000
chr2	133980000	134600000
chr2	134620000	135200000
chr2	135220000	135700000
chr2	135720000	136620000
chr2	136640000	137160000
chr2	137180000	138600000
chr2	138620000	139600000
chr2	139620000	140560000
chr2	140580000	141620000
chr2	141640000	142300000
chr2	142320000	142900000
chr2	142920000	143380000
chr2	143400000	143780000
chr2	143800000	144180000
chr2	144200000	144940000
chr2	144960000	145520000
chr2	145540000	146520000
chr2	146540000	147440000
chr2	147460000	148680000
chr2	148700000	149260000
chr2	149280000	149840000
chr2	149860000	150420000
chr2	150440000	151020000
chr2	151040000	151340000
chr2	151360000	151440000
chr2	151460000	152100000
chr2	152120000	152320000
chr2	152340000	152880000
chr2	152900000	153540000
chr2	153560000	154020000
chr2	154040000	154380000
chr2	154400000	155240000
chr2	155260000	156180000
chr2	156200000	157160000
chr2	157180000	157480000
chr2	157500000	157740000
chr2	157760000	158120000
chr2	158140000	158860000
chr2	158880000	159640000
chr2	159660000	159980000
chr2	160000000	160100000
chr2	160120000	160860000
chr2	160880000	161900000
chr2	161920000	161980000
chr2	162000000	162420000
chr2	162440000	162800000
chr2	162820000	163020000
chr2	163040000	163160000
chr2	163180000	163760000
chr2	163780000	164000000
chr2	164020000	164920000
chr2	164940000	165400000
chr2	165420000	165820000
chr2	165840000	166080000
chr2	166100000	166780000
chr2	166800000	167040000
chr2	167060000	167360000
chr2	167380000	168100000
chr2	168120000	168980000
chr2	169000000	169800000
chr2	169820000	170280000
chr2	170300000	170780000
chr2	170800000	171060000
chr2	171080000	171220000
chr2	171240000	171740000
chr2	171760000	172300000
chr2	172320000	172400000
chr2	172420000	173020000
chr2	173040000	173400000
chr2	173420000	173600000
chr2	173620000	173800000
chr2	173820000	174240000
chr2	174260000	175260000
chr2	175280000	175520000
chr2	175540000	175880000
chr2	175900000	176160000
chr2	176180000	176520000
chr2	176540000	176980000
chr2	177000000	177520000
chr2	177540000	177980000
chr2	178000000	178660000
chr2	178680000	178940000
chr2	178960000	179340000
chr2	179360000	179580000
chr2	179600000	180020000
chr2	180040000	180240000
chr2	180260000	180620000
chr2	180640000	180960000
chr2	180980000	181940000
chr2	181960000	182420000
chr2	182440000	182580000
chr2	182600000	183000000
chr2	183020000	183580000
chr2	183600000	184020000
chr2	184040000	185460000
chr2	185480000	186120000
chr2	186140000	187320000
chr2	187340000	187520000
chr2	187540000	187660000
chr2	187680000	188340000
chr2	188360000	188700000
chr2	188720000	189380000
chr2	189400000	189980000
chr2	190000000	190320000
chr2	190340000	190520000
chr2	190540000	190600000
chr2	190620000	190900000
chr2	190920000	191180000
chr2	191200000	191620000
chr2	191640000	191900000
chr2	191920000	192400000
chr2	192420000	192560000
chr2	192580000	193040000
chr2	193060000	193600000
chr2	193620000	194500000
chr2	194520000	195360000
chr2	195380000	195680000
chr2	195700000	196180000
chr2	196200000	196540000
chr2	196560000	196920000
chr2	196940000	197620000
chr2	197640000	198280000
chr2	198300000	198640000
chr2	198660000	199180000
chr2	199200000	200340000
chr2	200360000	200780000
chr2	200800000	201380000
chr2	201400000	201560000
chr2	201580000	201740000
chr2	201760000	202060000
chr2	202080000	202600000
chr2	202620000	203100000
chr2	203120000	203380000
chr2	203400000	203740000
chr2	203760000	204060000
chr2	204080000	204320000
chr2	204340000	204780000
chr2	204800000	205160000
chr2	205180000	205560000
chr2	205580000	206580000
chr2	206600000	206820000
chr2	206840000	206980000
chr2	207000000	207520000
chr2	207540000	207640000
chr2	207660000	208380000
chr2	208400000	208580000
chr2	208600000	208980000
chr2	209000000	209220000
chr2	209240000	210160000
chr2	210180000	210840000
chr2	210860000	211080000
chr2	211100000	211320000
chr2	211340000	211880000
chr2	211900000	212300000
chr2	212320000	212600000
chr2	212620000	213440000
chr2	213460000	214100000
chr2	214120000	214660000
chr2	214680000	215280000
chr2	215300000	215620000
chr2	215640000	216180000
chr2	216200000	216940000
chr2	216960000	217320000
chr2	217340000	217540000
chr2	217560000	218600000
chr2	218620000	218980000
chr2	219000000	219520000
chr2	219540000	219720000
chr2	219740000	219820000
chr2	219840000	220040000
chr2	220060000	220260000
chr2	220280000	220540000
chr2	220560000	221480000
chr2	221500000	222420000
chr2	222440000	222860000
chr2	222880000	223480000
chr2	223500000	223800000
chr2	223820000	224780000
chr2	224800000	225180000
chr2	225200000	225560000
chr2	225580000	225640000
chr2	225660000	225900000
chr2	225920000	226520000
chr2	226540000	227680000
chr2	227700000	227980000
chr2	228000000	228160000
chr2	228180000	228740000
chr2	228760000	229560000
chr2	229580000	230600000
chr2	230620000	231680000
chr2	231700000	231920000
chr2	231940000	232340000
chr2	232360000	232620000
chr2	232640000	233400000
chr2	233420000	233920000
chr2	233940000	234200000
chr2	234220000	234340000
chr2	234360000	234800000
chr2	234820000	235420000
chr2	235440000	236020000
chr2	236040000	236660000
chr2	236680000	237140000
chr2	237160000	238000000
chr2	238020000	238500000
chr2	238520000	238680000
chr2	238700000	239180000
chr2	239200000	239920000
chr2	239940000	240360000
chr2	240380000	240940000
chr2	240960000	241080000
chr2	241100000	241460000
chr2	241480000	241740000
chr2	241760000	242640000
chr2	242660000	242840000
chr3	460000	920000
chr3	940000	2080000
chr3	2100000	2180000
chr3	2200000	3200000
chr3	3220000	4340000
chr3	4360000	4660000
chr3	4680000	5240000
chr3	5260000	5820000
chr3	5840000	6880000
chr3	6900000	8440000
chr3	8460000	8680000
chr3	8700000	8960000
chr3	8980000	9400000
chr3	9420000	9480000
chr3	9500000	9800000
chr3	9820000	10120000
chr3	10140000	10340000
chr3	10360000	10780000
chr3	10800000	11120000
chr3	11140000	11340000
chr3	11360000	11920000
chr3	11940000	12560000
chr3	12580000	12880000
chr3	12900000	13040000
chr3	13060000	13520000
chr3	13540000	13700000
chr3	13720000	13920000
chr3	13940000	14180000
chr3	14200000	14560000
chr3	14580000	14680000
chr3	14700000	14980000
chr3	15000000	15100000
chr3	15120000	15460000
chr3	15480000	15580000
chr3	15600000	15880000
chr3	15900000	16300000
chr3	16320000	16600000
chr3	16620000	17280000
chr3	17300000	17440000
chr3	17460000	17900000
chr3	17920000	18480000
chr3	18500000	18840000
chr3	18860000	19060000
chr3	19080000	19920000
chr3	19940000	20260000
chr3	20280000	21020000
chr3	21040000	21540000
chr3	21560000	22200000
chr3	22220000	22560000
chr3	22580000	22980000
chr3	23000000	23940000
chr3	23960000	24280000
chr3	24300000	24740000
chr3	24760000	25640000
chr3	25660000	26780000
chr3	26800000	27120000
chr3	27140000	27300000
chr3	27320000	27720000
chr3	27740000	28380000
chr3	28400000	30020000
chr3	30040000	30800000
chr3	30820000	31560000
chr3	31580000	31820000
chr3	31840000	32040000
chr3	32060000	32200000
chr3	32220000	32520000
chr3	32540000	32740000
chr3	32760000	32980000
chr3	33000000	33120000
chr3	33140000	33440000
chr3	33460000	33880000
chr3	33900000	34760000
chr3	34780000	35980000
chr3	36000000	36740000
chr3	36760000	36940000
chr3	36960000	37300000
chr3	37320000	37880000
chr3	37900000	38040000
chr3	38060000	38520000
chr3	38540000	38700000
chr3	38720000	39100000
chr3	39120000	39440000
chr3	39460000	40200000
chr3	40220000	40360000
chr3	40380000	40600000
chr3	40620000	41260000
chr3	41280000	41920000
chr3	41940000	42220000
chr3	42240000	42640000
chr3	42660000	42920000
chr3	42940000	43200000
chr3	43220000	43560000
chr3	43580000	43780000
chr3	43800000	44300000
chr3	44320000	45020000
chr3	45040000	45540000
chr3	45560000	45740000
chr3	45760000	45960000
chr3	45980000	46140000
chr3	46160000	46500000
chr3	46520000	46700000
chr3	46720000	46940000
chr3	46960000	47440000
chr3	47460000	47840000
chr3	47860000	48220000
chr3	48240000	48660000
chr3	48680000	49020000
chr3	49040000	49520000
chr3	49540000	49740000
chr3	49760000	50120000
chr3	50140000	50340000
chr3	50360000	50620000
chr3	50640000	51000000
chr3	51020000	51460000
chr3	51480000	51720000
chr3	51740000	51960000
chr3	51980000	52220000
chr3	52240000	52440000
chr3	52460000	52720000
chr3	52740000	53120000
chr3	53140000	53240000
chr3	53260000	53920000
chr3	53940000	54420000
chr3	54440000	54820000
chr3	54840000	55440000
chr3	55460000	56360000
chr3	56380000	56560000
chr3	56580000	57040000
chr3	57060000	57580000
chr3	57600000	57920000
chr3	57940000	58160000
chr3	58180000	58300000
chr3	58320000	58560000
chr3	58580000	59180000
chr3	59200000	59560000
chr3	59580000	59900000
chr3	59920000	61380000
chr3	61400000	62180000
chr3	62200000	62540000
chr3	62560000	63300000
chr3	63320000	63820000
chr3	63840000	63960000
chr3	63980000	64500000
chr3	64520000	65280000
chr3	65300000	65720000
chr3	65740000	66260000
chr3	66280000	66940000
chr3	66960000	67420000
chr3	67440000	67880000
chr3	67900000	68100000
chr3	68120000	68980000
chr3	69000000	69500000
chr3	69520000	69760000
chr3	69780000	70040000
chr3	70060000	70520000
chr3	70540000	71060000
chr3	71080000	71740000
chr3	71760000	71940000
chr3	71960000	72320000
chr3	72340000	72500000
chr3	72520000	72920000
chr3	72940000	73120000
chr3	73140000	73520000
chr3	73540000	73920000
chr3	73940000	75240000
chr3	75760000	76180000
chr3	76200000	76680000
chr3	76700000	77020000
chr3	77040000	77320000
chr3	77340000	78680000
chr3	78700000	79080000
chr3	79100000	79540000
chr3	79560000	80040000
chr3	80060000	80760000
chr3	80780000	81340000
chr3	81360000	82240000
chr3	82260000	83580000
chr3	83600000	84560000
chr3	84580000	84980000
chr3	85000000	85380000
chr3	85400000	85660000
chr3	85680000	86700000
chr3	86720000	87280000
chr3	87300000	88200000
chr3	88220000	89140000
chr3	89160000	89500000
chr3	89520000	89900000
chr3	89920000	90240000
chr3	93820000	94560000
chr3	94580000	96540000
chr3	96560000	97460000
chr3	97480000	97740000
chr3	97760000	98100000
chr3	98120000	98260000
chr3	98280000	98540000
chr3	98560000	98720000
chr3	98740000	99520000
chr3	99540000	100020000
chr3	100040000	100420000
chr3	100440000	101400000
chr3	101420000	101940000
chr3	101960000	102280000
chr3	102300000	102980000
chr3	103000000	103800000
chr3	103820000	103980000
chr3	104000000	104280000
chr3	104300000	105260000
chr3	105280000	106320000
chr3	106340000	106880000
chr3	106900000	107260000
chr3	107280000	107620000
chr3	107640000	108320000
chr3	108340000	108680000
chr3	108700000	108920000
chr3	108940000	109420000
chr3	109440000	110040000
chr3	110060000	110800000
chr3	110820000	111320000
chr3	111340000	111780000
chr3	111800000	112280000
chr3	112300000	112720000
chr3	112740000	113040000
chr3	113060000	113160000
chr3	113180000	113480000
chr3	113500000	113800000
chr3	113820000	114080000
chr3	114100000	114500000
chr3	114520000	114900000
chr3	114920000	115600000
chr3	115620000	116480000
chr3	116500000	117720000
chr3	117740000	118540000
chr3	118560000	118840000
chr3	118860000	119180000
chr3	119200000	119420000
chr3	119440000	119940000
chr3	119960000	120120000
chr3	120140000	120260000
chr3	120280000	120620000
chr3	120640000	121220000
chr3	121240000	122100000
chr3	122120000	122420000
chr3	122440000	123000000
chr3	123020000	123300000
chr3	123320000	123440000
chr3	123460000	123680000
chr3	123700000	124040000
chr3	124060000	124280000
chr3	124300000	124420000
chr3	124440000	124620000
chr3	124640000	125320000
chr3	125340000	125600000
chr3	125620000	126200000
chr3	126220000	126380000
chr3	126400000	126700000
chr3	126720000	127280000
chr3	127300000	127780000
chr3	127800000	128340000
chr3	128360000	128600000
chr3	128620000	129040000
chr3	129060000	129840000
chr3	129860000	130380000
chr3	130400000	130700000
chr3	130720000	131240000
chr3	131260000	131940000
